@relation CB10PSB4SE_MEAN-weka.filters.unsupervised.attribute.Remove-R1-10

@attribute INT-INT numeric
@attribute INT-FLOAT numeric
@attribute FLOAT-FLOAT numeric
@attribute BOOL-BOOL numeric
@attribute REF-REF {RANDOM,0,0.333333,0.416667,0.025641,0.5,GA,1,0.033333,0.125,1.75,0.166667,0.25,0.337278,0.2,0.423077,0.39887,0.4,0.049668,0.10754,0.003077,0.044444,0.08,0.034483,0.00297,0.375,0.090909,0.361111,0.111111,1.071428,0.083333,0.041667,0.190741,0.666667,0.555556,0.533333,0.57037,0.040816,0.343235,0.494777,0.7,0.133333,0.233333,0.09375,0.785714,0.266667,0.142857,0.047619,1.666667,0.466667,0.055719,0.020202,0.030303,0.642857,0.733333,0.444444,0.933333,0.004325,0.180952,0.833333,0.043478,0.75,0.732051,1.2,0.222222,0.024691,0.099432,1.255861,0.371429,0.004456,0.1,0.196429,2,0.296296}
@attribute REF-NULL numeric
@attribute VARVAR numeric
@attribute VAREXP numeric
@attribute VARMETHOD numeric
@attribute VARCONST numeric
@attribute VARARRAY numeric
@attribute EXPEXP numeric
@attribute EXPMETHOD numeric
@attribute EXPCONST numeric
@attribute EXPARRAY numeric
@attribute METHODMETHOD numeric
@attribute METHODCONST numeric
@attribute METHODARRAY numeric
@attribute CONSTCONST numeric
@attribute CONSTARRAY numeric
@attribute ARRAYARRAY numeric
@attribute NLp numeric
@attribute NNLp numeric
@attribute Nodes numeric
@attribute Edges numeric
@attribute CompCicl numeric
@attribute NPths numeric
@attribute PS numeric
@attribute NCtr numeric
@attribute NEl numeric
@attribute NCtt numeric
@attribute NVar numeric
@attribute NEx numeric
@attribute NMC numeric
@attribute NIC numeric
@attribute NIntC numeric
@attribute NEC numeric
@attribute NInt numeric
@attribute NFlt numeric
@attribute NNull numeric
@attribute NArr numeric
@attribute NStr numeric
@attribute NObj numeric
@attribute NLExp numeric
@attribute UPC numeric
@attribute Args numeric
@attribute Lob numeric
@attribute CLASS {GA,RANDOM}

@data
0,0,0,0.26292,0,0.166667,0,0,0,0.248214,0,0.027778,0,0.166667,0,0,0.752795,0,0,0,0,0.25,0.083333,7.583333,11.25,6.833333,6.5,4.504634,1.960253,6.297689,1.731081,1.579318,0.764799,2.222491,0.519894,0.603227,1.07486,2.040517,0,0.470437,0.790529,0,2.705264,0.083333,0,0.916667,52.5,GA
0,0,0,0.25,0,0.25,0,0.0625,0,0.375,0,0,0,0,0,0,0.5625,0,0,0,0,0.5,0.25,4.5,4.75,2.5,2.5,3.5,1.5,3.875,1.3125,1.1875,0.5,0.875,0,0,0.625,0.9375,0,0.5625,0,0.1875,1.625,0,0.25,0.25,31.75,GA
0,0,0,0.656836,0,0.156566,0,0,0,0.156566,0.158333,0,0.164664,0,0,0,2.193856,0,0.866507,0,0,1.166667,0.333333,15.333333,32.166667,21,20.5,7.088695,4.13883,17.335604,6.903336,3.361316,0.598905,6.472047,0.005208,0.488793,5.978046,6.307382,0,1.266349,2.102521,0.158333,7.38491,0,0.833333,1.5,92.166667,GA
0,0,0,2.678724,0,0.166667,0,0,0,1.156678,0,0.06705,0.155172,0.167832,0,0,2.960631,0,0.053571,0,0,0.833333,0.166667,18.166667,34.5,20.166667,19.833333,8.403962,5.251086,17.48203,6.880247,4.553817,0.690152,5.357815,0.035304,3.102301,2.22021,10.357709,0,0.525862,0,0,5.908307,0,0.166667,1,116.166667,GA
0,0,0,2,0,0.833333,0,0,0,1.333333,0,0,0,0,0,0,1.772727,0,0,0,0,0,0,13,17,7,7,5.015152,3.106061,9.666667,4.606061,3.106061,0,1.954546,0,0.090909,0.363636,4.181818,0,1.015151,0,0,2.969697,0,0.5,0.5,75,GA
0,0,0,2.434782,0,0,0,0,0,0,0,0,0,0,0,0,3.391304,0,0,0,0,1,0,18,38,23,23,7.956522,4.347826,41.086956,11.173913,6.782609,0.956522,22.173914,0,6,16.173914,4.869565,0,0.956522,7.782609,0,26.521738,0,1,0,242,GA
0,0,0,0.666111,0,0.313333,1.022059,0.02,0,0.854837,0,0,0.080556,0,0,0,1.172828,0,0,0,0,0.7,0.2,13.7,23.1,13.6,13.6,5.596468,3.56009,14.335309,4.449397,4.940835,0.409811,4.535266,0.262222,0.861111,3.411933,5.977438,0,0.571282,2.439168,0,5.797268,0,0.4,1,85,GA
0,0,0,1.224138,0.5,1.051724,0.5,0,0,5.362069,0,0,0,0,0,0,9.713218,0,0,0,0,0,0,47.5,79.5,36.5,36.5,17.482758,15.575287,35.745401,15.575287,10.232758,0,9.937356,6.066667,3.163793,0.206897,2.448276,0,13.85115,4.017241,0,18.945977,0,0.5,0,183.5,GA
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,2.666667,1.333333,2.333333,1,1,0.333333,0,0,0,0,0,0,1,0,0,1,0,0,0,16,GA
0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,9,11,5,5,5,3,19.8,6.4,3.4,0,10,0,1.6,8.4,2.4,0,1.8,3.4,0,12.200001,0,0,0,57,GA
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.666667,0,0,0,0,0,0,5,5,3,3,3,1.666667,5.666666,2.333333,1.666667,0,1.666667,0,1,0.666667,2.666666,0,0.666667,0,0,2.333333,0,0,0,26,GA
0,0,0,1.066667,0.5,0.866667,0.5,0,0.7,1.833333,0,0,0,0,0,0,1.133333,0,0,0,0,0,0,14,18.5,9,9,5.733333,4.166667,10.466667,3.466667,5.1,0,1.9,0.333333,1,0.066667,3.533333,0,1.9,0.533333,0,4.533334,0,0.5,0,64.5,GA
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2.5,1,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,9,GA
0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1,0,4,4,2,2,4,1.5,6,1.5,1.5,0,3,0,0,3,3,0,0,0,0,3,0,1,3,16,GA
0,0,0,0.7,0,0,0,0.25,0,0.5,0,0,0.45,0,0,0,2.4,0,0.1,0,0,1,0,10.5,14.5,6,6,7.1,3.7,14.55,6.85,4.2,0,3.5,0,0,3.5,9.7,0,0.4,3.85,0,5.3,0,0.5,0.5,65.5,GA
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,2,2,2.5,1,8,3,2,0,3,1,2,0,4,1,0,0,0,3,0,0,0,21,GA
0.909091,107970,0.090909,0.919052,GA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,GA
0,0,0,2.5,0,2.4,0,0,0,2.4,0,0,0,0,0,0,3.7,0,0,0,0,1,0,16,24,10,10,8.4,6.1,19.7,6.1,5.8,0,7.8,0,0,7.8,6,0,3.1,0,0,10.6,0,1,0,71,GA
0,0,0,0,0,0,0.666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,3,3.666667,1.666667,4,1,3,0,0,0,0,0,3.333333,0,0,0,0,0,0,0,0,14,GA
0.474006,75217,0.063744,1.233671,GA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0.300286,71895,0.012393,1.251631,GA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0.481418,75744,0.062091,1.325702,GA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0,0,0,1.142857,0.5,0.857143,0.5,0,0,2.178572,0,0,0,0,0,0,1.714286,0,0,0,0,0,0,14.5,19,9,9,6.035714,4.392857,10.535714,4.392857,4.285715,0,1.857143,0.75,0.464286,0.142857,2.285714,0,2.75,0.964286,0,5,0,0.5,0,51.5,GA
0,0,0,1.0625,0,0,0,0,0,0,0,0,0,0,0,0,2.0625,0,0,0,0,0,0,10,24,16,16,4.875,2.8125,14.625,3.125,5.1875,0.75,5.5625,0,0,4.5,2.125,0,1,0,0,9.6875,0,1,0,72,GA
0,0,0,1.25,0,0,0,0,0,1,0,0,0,0,0,0,1.25,0,0,0,0,0,0,7,6,4,4,3.25,2.25,7,3.5,2.25,0,1.25,0,0,1.25,2.5,0,1,3.5,0,2.25,0,1,0,21,GA
0,0,0,0.515152,0,0,0,0.045455,0,0.181818,0,0,0.158061,0,0,0.091648,1.38668,0,0.116883,0.215078,0,0.727273,0.181818,10.454545,15.272727,7.636364,7.545455,4.284289,2.339563,9.078978,3.500396,2.379738,0.143939,3.054904,0,0.642092,2.412813,5.295692,0,0.143939,1.997994,0,3.284658,0,0.272727,0.636364,67.363636,GA
0,0,0,0.5,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,3.5,3.25,2,2,3.125,1.25,5.25,1.5,2.125,0,1.625,0.375,0,1.25,2.75,0,0,0.5,0.75,2.5,0,0,0.5,26.5,GA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,2,2,2.5,1,5,2,1,0,2,0,0,2,0,0,1,1,0,3,0,0,0,47,GA
0,0,0,0.818182,0,0,0,0,0,0,0,0,0,0,0,0,1.636364,0,0,0,0,2,1,9,18,11,11,5.636363,2.545454,8.272727,2.454546,1.636364,0.909091,3.272727,0,0,3.272727,1.636364,0,0.818182,1.636364,0,4.090909,0,1,0,41,GA
0,0,0,1.233333,0,0,0,0,0,0.533333,0,0,0,0.066667,0,0,0.9,0,0.2,0,0,0.8,0,4.8,5.2,2.4,2.4,4.266667,1.7,4.966667,2.033333,1.433333,0,1.5,0,0,1.5,3.066667,0,0.2,0,0,1.5,0,0.6,0.8,22,GA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3.8,2.9,2.9,2.9,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,36.4,GA
0,0,0,0.090909,0,0.5,0,0,0,0.5,0,0,0,0.090909,0,0,0.969697,0,0.5,0,0,0.5,0,12,27,18.5,18,4.742424,2.712121,6.015151,2.833333,1.560606,0.651515,0.969697,0,0,0.878788,3.30303,0,0.5,0,0,1.469697,0,0.5,0,69,GA
0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,4,4,2,2,3,1,4,0.5,2,0,1.5,0,1,0.5,1,0,0,0,0,2.5,0,0,0,15,GA
0,0,0,0.97619,0,0.357143,0,0,0,0.357143,0,0,0,0,0,0,0.97619,0,0,0,0,0,0,4,3.142857,2.571429,2.571429,2.333333,1.333333,2.785714,1.333333,0.47619,0,0.97619,0.857143,0.119048,0,1.952381,0,0.357143,0,0,0.476191,0,0,0.142857,18.571429,GA
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,2,2,2,1,4,2,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,25,GA
0,0,0,1.208333,0,0,0,0,0,0,0,0,0,0,0,0,1.208333,0,0,0,0,2,0.5,7,12,7,7,5.5,2,5.833334,1.5,0.5,0.791667,3.041667,1.208333,1.541667,0,2.666667,0,0,0,0,2.083334,0,0,0.5,87.5,GA
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,2,2,2.5,1,4,2,0,0,2,0,0,1,2,0,0,0,0,1,0,0,0,14,GA
0.916667,39892,0.083333,1.434498,GA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0.928571,43478,0.071429,1.731496,GA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0,0,0,1.312059,0,0,0,0.208225,0,0.895238,0,0,0,0,0,0,1.300928,0,0,0.171429,0,0.571429,0,8.142857,11,5.857143,5.857143,5.173964,2.984601,10.372604,3.436364,3.603216,0.408782,2.924242,0.183673,0.968769,1.7718,5.338343,0,0.314286,1.745083,0.674892,3.939394,0,0.142857,1,61.142857,RANDOM
0,0,0,1.130848,0,0.333333,0,0.037037,0,0.768519,0,0,0.004386,0,0,0,1.476887,0,0.157164,0,0,0.5,0.166667,10.166667,12.5,5.666667,5.666667,4.931113,2.608152,10.046157,4.135025,2.946429,0.16416,2.800543,0.064258,0.486216,1.825362,4.369779,0,1.169347,1.152639,0.203704,4.049011,0,0.333333,0.833333,72.916667,GA
0.199593,92403,-0.048834,0.907384,GA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0,0,0,0,1,0.857143,2.285714,0,0,0.857143,0,0,0,0,0,0.714286,0,0,0,0,0,0,0,13,12,7,7,4.857143,3.857143,9.714286,0.857143,7.428571,0,1.428572,0.714286,0,0.714286,2.571429,0,0.857143,0,0,6.285714,0,0,0,42,GA
0,0,0,1.723242,0.033333,0.066667,0.033333,0,0,0.601623,0,0,0.011111,0.001333,0,0,2.49179,0,0.069321,0,0,1.033333,0.366667,12.9,18.466667,8.533333,8.4,6.530546,3.39591,16.733631,3.683409,3.114406,0.187398,9.748418,1.178609,2.086977,6.482832,3.846215,0,1.327406,1.021715,0,10.994064,0,0.533333,0.5,62.066667,GA
0,0,0,0.977273,0,0,0,0,0,0,0,0,0,0,0,0,34.704544,0,0,0,0,0,0,92,133,44,44,37.863636,34.727272,209.29546,68.52273,35.795456,0.022727,104.954544,0,34,70.954544,69.318184,0,1,68.795456,0,105.954544,0,1,0,851,GA
0,0,0,0.666667,0,0,0,0.333333,0,1,0,0,0,0,0,0,0.666667,0,0,0,0,1,0,6,6,3,3,4.333334,2,7.666666,3,4,0,0.666667,0,0,0.666667,5,0,0,0,0,0.666667,0,0,0,24,GA
0,0,0,0.32381,0,0,0,0.095238,0,0.47619,0.114286,0,0,0.028571,0,0,0.438095,0,0.142857,0.238095,0,0.714286,0,10.857143,16.571429,8,8,5.007769,2.128321,5.95213,2.47619,2.104762,0.594987,0.77619,0,0.42381,0.352381,2.609524,0,0.438095,0.47619,0.42381,1.495238,0,0.142857,0.857143,69.857143,GA
0,0,0,0.666667,0,0,0,0.333333,0,1,0,0,0,0,0,0,0.666667,0,0,0,0,1,0,6,6,3,3,4.333334,2,8.333333,2.333333,4,0,2,0,1.333333,0.666667,4.333334,0,0,1.333333,1.333333,4,0,0,0,28,GA
0.807599,142802,0.038343,1.339932,GA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.175,0,0,0,0,0,0,4.5,5.5,4.75,4.5,2.425,1.15,3.05,0.675,1.375,0.475,0.525,0,0.525,0,0.175,0,0.675,0.175,0,1.725,0,0,0,30.25,GA
0,0,0,1.192251,0,0.315789,0,0,0,0.315789,0,0,0.056391,0,0,0.105263,2.222598,0,0,0,0,0.210526,0.052632,8.631579,11.473684,5,5,4.568609,2.700042,9.321825,2.822849,1.465058,0,5.033918,1.275084,1.417836,2.22947,3.49883,0,0.892356,0.022556,0,4.796554,0,0.105263,0.473684,48,GA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,2,2,2.5,1,3,1,1,0,1,0,0,1,2,0,0,0,0,1,0,0,0,77,GA
0,0,0,1,0,0,0,0,0,0,0,0,0.777778,0,0,0,5,0,0,0,0,2,1,14,21,9,9,9.555555,5.777778,24.444445,8.222222,4.777778,0,11.444445,0,0,11.444445,12.666667,0,0.666667,0,0,11.111111,0,0,0,61,GA
0,0,0,0.541667,0,0.111111,0,0,0,0.777778,0,0,0,0,0,0,1.063889,0,0,0,0,0,0,6.5,9,5,5,4.197222,2.117593,8.706481,3.911111,1.975,0.275926,2.544444,0,1.994444,0.55,2.083333,0,0.8,3.3,0,3.477778,0,0.333333,0.666667,44,RANDOM
0,0,0,0,0,0,0.222222,0.111111,0,1.222222,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,4,4.333333,2.666667,2.666667,3.055556,1.555556,3.777778,1.444444,2.333333,0,0,0,0,0,1.222222,0,1,0.333333,0,0.333333,0,0,0.333333,24.333333,GA
0.474006,75217,0.063744,1.233671,GA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0.300286,71895,0.012393,1.251631,GA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0.481418,75744,0.062091,1.325702,GA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0.371468,125322,0.154416,1.022486,GA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0,0,0,0,0,0,0,0.25,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,4,4,2,2,3.5,1.25,5.5,1.5,1.75,0,2.25,0.75,0.5,1,2.25,0,0.5,0,0.75,2.75,0,0,0.5,27.5,GA
0,0,0,0.488889,0,0,0,0,0,0,0,0,0,0,0,0,1.433333,0,0,0,0,0,0,13,22.5,12,12,5.777778,2.322222,7.177778,2.144444,0.766667,0.888889,3.377778,0,0,3.377778,0.977778,0,0.944444,1.477778,0,3.655556,0,0,0,221,GA
0,0,0,0,0,0.833333,0,0,0,0.833333,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,3.5,2.5,2.5,2.833333,1.333333,2.166667,0.833333,0.833333,0.5,0,0,0,0,0,0,0.833333,0,0,0.833333,0,0,1,21.5,GA
0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.9,0,0,0,0,2,1,10,18,10,10,6.7,2.1,14.5,2.6,2.6,0.8,8.5,0,0,8.5,0.8,0,0.9,3.5,0.4,10.7,0,0,0,130,GA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666667,0,0,0,0,0,0,0,5,4,3,3,2.666667,1.666667,6.666666,0,3.333333,0,3.333333,0,3.333333,0,3.333333,0,0,0,0,3.333333,0,0,2,18,GA
0,0,0,1.928572,0,0,0,0,0,0.5,0,0,0,0,0,0,3.328571,0,0,0,0,0.5,0,10.5,14.5,6,6,6.328571,3.828571,17.928572,5.471429,4.728571,0,7.728571,0,1.8,5.928571,3.857143,0,1.9,2.142857,0,10.528571,0,0.5,1,70,GA
0,0,0,0.083333,0,0,0,0,0,1,0,0,0,0,0,0,0.819444,0,0,0,0,0,0,4.666667,5.166667,3,3,3.202778,1.819444,4.194444,1.819444,1.319444,0,1.055556,0.5,0,0.555556,1.972222,0,0.833333,0.986111,0,1.388889,0,0,0.166667,44,GA
0,0,0,0.583333,0,0,0,0,0,1,0,0,0,0,0,0,1.183333,0,0,0,0,0,0,6.5,8,4,4,4.158333,2.383333,9.433333,4.316667,2.733333,0.2,2.183333,0,0,2.183333,3.366667,0,1,4.416667,0,3.183333,0,0.25,0.25,46.25,GA
0,0,0,1.442708,0.125,0.317708,0.125,0,0.09375,0.442708,0,0,0,0,0,0,1.916667,0,0.03125,0,0,0.5,0,6.75,7.75,3.875,3.875,4.682292,2.609375,10.244792,2.671875,1.755208,0,5.817708,1.229167,0.911458,3.552083,2.885417,0,0.979167,0.1875,0,6.130208,0,0,0.75,29.375,GA
0,0,0,0,0,0,0.222222,0.055556,0,0.388889,0,0,0,0,0,0,0,0,0.277778,0,0,0.666667,0.333333,8.666667,11.333333,6.333333,6,4.166667,1.75,4.25,1.472222,1.361111,0.805556,0.611111,0,0.25,0.361111,1.944445,0,0.166667,0.722222,0.361111,1.083333,0,0.333333,1.333333,44,RANDOM
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916667,0,0,0,0,0,0,11,16.5,8,8,5.35,1.8,4.716667,0.916667,0.5,0.883333,2.416667,0,0,2.416667,0,0,0.916667,0.5,0,2.916667,0,0,0,114.5,GA
0,0,0,1.508333,0.333333,0,0.333333,0.066667,0,0.466667,0,0,0,0,0,0,1.508333,0,0,0,0,0.666667,0,8.666667,15.333333,10.333333,10.333333,4.502778,2.625,9.858333,2.505556,4.025,0.25,3.077778,0,0,2.883333,3.75,0,0.266667,0.069444,0,4.661111,0,0,1,34,GA
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2.5,1,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11,GA
0,0,0,0.966667,0,1,0,0,0,1,0,0,0,0,0,0,3.316667,0,0.4,0,0,0.5,0,15,18.5,8,8,6.6,4.716667,17.549999,5.116667,4.583333,0,7.85,0,3.733333,4.116667,3.633333,0,2.9,0,0,11.016666,0,0,0.5,46.5,GA
0,0,0,1.275,0,0,0,0,0,0.2,0,0,0,0,0,0,1.475,0,0,0,0,0,0,4.6,5.4,3.4,3.4,3.108333,1.741667,7.841667,4.625,0.2,0.066667,2.95,0,0.2,2.75,3.35,0,0.2,2.75,0,1.675,0,0.2,0.2,21.6,GA
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,2,2,2.5,1,4,2,1,0,1,0,0,1,2,0,0,2,0,1,0,0,0,59,GA
0,0,0,0.333333,0,0.666667,0,0,0,0.666667,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,3,3,2,2,2.5,1,2.666667,1,1,0,0.666667,0,0.666667,0,0.666667,0,0.666667,0,0,1.333333,0,0,1.333333,19,GA
0,0,0,0,0,0,0,0,0,1.549206,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,5,5,3,1.549206,3.098413,1.549206,1.549206,0,0,0,0,0,3.098413,0,0,0,0,0,0,0,0.666667,26,GA
0.524007,81850,0.118998,1.045266,GA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
