@relation 'CBCK-weka.filters.unsupervised.attribute.Remove-R1-8-weka.filters.unsupervised.attribute.Remove-R3-4,7-13'

@attribute CBO numeric
@attribute WNC numeric
@attribute RFC numeric
@attribute LCOM numeric
@attribute LOC numeric
@attribute CLASS {GA,RANDOM}

@data
2,12,4,0,86,GA
1,11,0,45,45,GA
5,12,8,6,117,RANDOM
2,62,28,7,424,RANDOM
2,6,6,0,69,GA
2,2,0,1,12,RANDOM
4,7,5,0,63,GA
3,6,1,3,80,GA
22,29,33,34,177,GA
0,1,0,0,60,RANDOM
14,21,44,31,249,GA
4,5,8,6,49,GA
5,6,8,1,30,GA
1,3,1,0,20,GA
3,16,1,77,112,GA
1,2,4,1,59,GA
21,42,1,741,404,GA
3,3,1,0,49,GA
7,76,19,166,357,RANDOM
1,2,1,1,40,GA
0,8,9,1,51,GA
9,18,1,105,188,GA
7,14,1,55,152,GA
8,20,12,11,103,GA
1,5,0,0,93,GA
14,28,1,300,278,GA
3,6,1,3,80,GA
8,12,9,7,128,GA
2,9,18,2,80,RANDOM
13,26,1,253,260,GA
13,26,1,253,260,GA
1,25,42,28,229,GA
6,10,10,0,94,RANDOM
3,84,61,94,613,GA
11,22,1,171,224,GA
1,12,0,44,82,RANDOM
12,41,43,168,232,GA
5,22,17,25,119,RANDOM
1,2,1,1,40,GA
3,8,46,19,150,RANDOM
5,65,58,616,489,GA
2,1,0,0,23,RANDOM
3,0,0,0,24,RANDOM
6,12,1,36,134,GA
1,2,1,1,40,GA
10,12,19,6,84,GA
3,4,11,1,42,GA
2,11,11,0,85,GA
9,18,1,105,188,GA
11,22,1,171,224,GA
1,2,1,1,40,GA
7,6,6,0,48,GA
2,10,14,6,88,GA
5,24,15,169,248,GA
12,24,1,210,242,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
6,12,11,1,94,RANDOM
7,14,1,55,152,GA
4,17,26,0,139,GA
6,12,1,36,134,GA
1,2,1,1,40,GA
4,18,29,85,241,GA
3,37,37,15,266,GA
13,26,1,253,260,GA
12,15,59,21,161,GA
15,12,16,15,77,RANDOM
4,1,0,0,27,GA
2,17,37,40,246,GA
7,14,1,55,152,GA
2,1,6,0,19,GA
2,65,51,33,333,GA
4,28,9,19,203,GA
1,6,3,0,93,GA
9,34,21,62,277,GA
5,13,29,6,80,GA
0,2,0,1,59,RANDOM
11,22,1,171,224,GA
11,7,29,1,74,GA
10,20,1,136,206,GA
0,5,11,0,68,GA
6,12,1,36,134,GA
8,15,7,16,125,GA
5,7,5,0,58,GA
11,4,4,6,46,RANDOM
5,10,8,15,63,GA
8,16,1,78,170,GA
1,2,1,1,40,GA
6,20,27,61,199,GA
5,9,12,1,46,GA
2,8,18,13,100,RANDOM
11,42,47,26,326,GA
1,2,1,1,40,GA
11,25,24,153,195,GA
13,26,1,253,260,GA
1,2,1,1,40,GA
12,27,64,53,185,GA
2,9,0,0,82,GA
7,17,8,4,76,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
2,2,5,0,21,GA
3,7,7,0,51,GA
0,2,0,0,13,RANDOM
13,66,88,582,576,GA
7,14,1,55,152,GA
11,22,1,171,224,GA
3,6,2,0,88,GA
5,6,7,4,45,GA
1,2,1,1,40,GA
2,45,49,39,231,GA
8,16,1,78,170,GA
1,2,1,1,40,GA
3,6,1,3,80,GA
7,12,9,0,94,GA
5,10,1,21,116,GA
6,12,1,36,134,GA
1,0,0,0,8,RANDOM
16,121,12,1113,385,RANDOM
1,2,1,1,40,GA
5,5,6,1,31,GA
0,6,2,3,54,RANDOM
10,20,22,16,141,GA
3,6,1,3,80,GA
3,6,1,3,80,GA
10,20,1,136,206,GA
11,22,1,171,224,GA
3,4,5,1,44,GA
2,21,7,0,98,GA
28,8,13,15,192,RANDOM
7,21,13,94,84,GA
6,15,7,33,58,GA
1,0,0,0,29,RANDOM
2,12,3,0,44,GA
4,3,5,0,26,GA
1,5,3,0,26,RANDOM
2,0,0,0,48,RANDOM
28,85,115,521,485,RANDOM
1,2,1,1,40,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
3,2,2,0,18,GA
13,22,24,8,163,GA
1,2,1,1,40,GA
2,2,2,1,14,GA
1,24,9,4,145,GA
10,20,1,136,206,GA
4,14,16,9,85,GA
12,9,5,11,73,RANDOM
0,1,1,0,34,GA
6,18,23,0,210,GA
4,82,44,507,794,GA
13,26,1,253,260,GA
9,22,22,0,166,GA
9,16,6,85,98,GA
17,20,23,2,264,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
2,4,1,0,62,GA
1,2,1,1,40,GA
2,5,7,3,88,RANDOM
12,24,1,210,242,GA
8,16,1,78,170,GA
8,17,22,3,81,GA
1,2,1,1,40,GA
13,26,1,253,260,GA
1,2,1,1,40,GA
9,18,1,105,188,GA
0,13,0,10,85,GA
12,24,1,210,242,RANDOM
11,9,23,0,142,GA
8,16,1,78,170,GA
24,75,51,610,474,RANDOM
3,6,1,3,80,GA
4,7,11,3,103,GA
8,21,32,9,162,GA
6,4,23,1,91,GA
4,10,7,16,112,RANDOM
17,34,1,465,332,GA
16,32,1,406,314,GA
12,24,1,210,242,GA
5,2,3,1,22,GA
15,6,12,1,85,GA
7,14,1,55,152,GA
7,14,1,55,152,GA
9,18,1,105,188,GA
1,3,2,0,22,GA
5,10,8,3,120,GA
0,4,0,4,70,GA
2,18,63,63,246,GA
1,3,3,3,18,GA
1,2,1,1,40,GA
6,14,9,18,170,GA
11,22,1,171,224,GA
20,21,41,41,212,RANDOM
1,1,0,0,9,RANDOM
1,2,1,1,40,GA
11,123,63,103,1084,RANDOM
5,10,1,21,116,GA
5,26,29,0,214,GA
0,2,3,1,43,GA
7,14,1,55,152,GA
0,8,1,5,110,GA
12,24,1,210,242,GA
2,4,16,0,82,RANDOM
4,1,3,0,60,RANDOM
1,2,1,1,40,GA
4,16,7,19,250,GA
14,75,49,0,438,RANDOM
1,24,27,245,217,GA
10,20,1,136,206,GA
0,2,0,0,26,GA
11,22,1,171,224,GA
8,16,1,78,170,GA
2,6,7,0,39,GA
9,8,2,26,87,RANDOM
1,1,1,0,10,GA
32,43,29,582,361,GA
2,6,8,0,54,GA
2,4,0,4,75,RANDOM
5,8,5,15,100,GA
0,2,0,1,20,GA
1,2,1,1,40,GA
2,3,1,0,57,GA
7,14,1,55,152,GA
15,26,5,0,120,GA
2,26,23,17,252,GA
2,5,5,0,35,GA
1,5,6,0,41,GA
13,25,18,206,249,RANDOM
1,2,1,1,40,GA
7,57,71,168,350,RANDOM
3,9,15,1,85,GA
2,1,2,0,20,RANDOM
8,16,1,78,170,GA
11,22,1,171,224,GA
9,35,32,72,301,GA
5,21,37,10,159,GA
3,6,1,3,80,GA
11,22,1,171,224,GA
1,5,5,0,52,GA
1,22,6,179,162,GA
9,18,1,105,188,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
0,4,0,3,47,GA
8,17,14,7,177,GA
8,10,30,0,70,GA
14,28,1,300,278,GA
1,2,1,1,40,GA
0,30,12,87,122,GA
8,63,48,9,282,GA
16,13,7,1,114,GA
1,2,1,1,40,GA
8,37,0,396,627,GA
7,14,1,55,152,RANDOM
6,12,1,36,134,GA
6,27,13,31,187,GA
1,2,2,1,42,GA
6,5,19,1,70,RANDOM
11,20,17,8,132,GA
3,5,7,3,68,RANDOM
0,10,3,20,156,GA
2,10,16,0,98,GA
6,6,13,1,49,GA
3,10,3,11,113,GA
4,18,13,34,82,GA
1,5,4,1,50,GA
5,10,1,21,116,GA
12,24,1,210,242,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
2,15,2,22,112,GA
1,2,1,1,40,GA
2,4,1,0,62,GA
3,9,12,2,91,GA
6,47,28,0,169,GA
1,10,5,0,75,GA
2,3,1,1,68,RANDOM
14,21,44,85,136,GA
3,5,0,0,57,GA
2,11,15,0,75,GA
7,45,0,663,796,GA
31,51,73,8,347,GA
20,46,25,188,314,GA
10,93,102,173,470,GA
1,2,1,1,40,GA
5,34,15,36,210,RANDOM
0,4,4,0,25,RANDOM
7,14,1,55,152,GA
1,2,1,1,40,GA
8,16,1,78,170,GA
48,103,122,2636,418,GA
6,5,0,10,23,RANDOM
5,10,1,21,116,GA
10,13,12,21,110,GA
1,2,1,1,40,GA
1,21,6,0,116,GA
7,33,23,0,178,GA
4,4,1,0,58,RANDOM
9,4,4,6,76,GA
3,3,8,1,33,GA
4,9,13,34,59,RANDOM
2,27,39,37,190,GA
6,23,24,43,152,GA
0,23,6,0,109,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
0,2,0,1,45,RANDOM
9,15,49,21,215,RANDOM
1,2,0,1,15,GA
9,42,28,288,198,GA
1,2,1,1,40,GA
0,9,0,12,51,RANDOM
1,1,5,0,27,GA
19,24,33,22,208,GA
3,17,28,1,110,GA
3,42,29,66,234,GA
1,13,20,1,141,GA
3,14,13,5,100,GA
6,32,41,0,258,GA
2,15,11,0,66,GA
1,16,25,18,167,RANDOM
3,17,18,66,178,GA
5,39,41,78,374,RANDOM
13,26,1,253,260,GA
1,2,1,1,40,GA
9,3,11,1,94,RANDOM
0,45,23,496,322,GA
3,0,0,0,27,RANDOM
29,105,94,856,735,GA
1,2,1,1,36,RANDOM
3,50,56,66,434,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
9,117,98,759,1502,GA
5,11,11,0,96,GA
1,2,0,0,33,GA
26,52,1,1176,494,GA
1,2,1,1,40,GA
8,6,13,1,45,GA
1,2,1,1,40,GA
9,5,12,0,47,GA
4,14,17,4,134,RANDOM
1,2,1,1,40,GA
5,10,17,0,77,GA
2,7,11,0,138,GA
0,2,5,0,30,RANDOM
3,11,9,1,51,GA
2,12,8,2,112,GA
3,4,3,6,77,RANDOM
2,5,10,3,69,GA
2,13,7,6,122,RANDOM
11,22,1,171,224,GA
6,8,14,0,62,RANDOM
11,22,1,171,224,GA
5,11,0,27,83,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
0,11,0,45,54,GA
4,9,13,0,60,GA
0,25,0,300,126,GA
1,17,11,24,93,GA
0,38,16,374,163,GA
1,3,2,0,47,GA
6,5,0,6,45,GA
2,2,1,1,12,GA
5,21,37,32,253,GA
1,1,0,0,55,RANDOM
1,1,0,0,32,RANDOM
3,4,9,0,45,GA
5,55,50,197,246,GA
5,19,12,29,184,GA
1,10,5,0,101,GA
4,39,9,1,91,GA
8,12,22,4,104,GA
13,47,78,176,355,RANDOM
1,11,13,10,148,GA
18,36,1,528,350,GA
1,4,4,3,48,RANDOM
6,4,23,1,91,GA
10,23,47,0,193,RANDOM
4,29,16,20,110,GA
1,1,0,0,55,RANDOM
3,9,5,10,50,GA
8,16,1,78,170,GA
11,22,1,171,224,GA
1,3,0,3,39,RANDOM
4,8,1,10,98,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
3,36,6,0,114,GA
3,3,3,3,66,RANDOM
5,15,3,45,79,RANDOM
0,5,3,0,63,GA
3,2,5,1,43,GA
5,10,5,0,72,GA
4,38,43,78,325,GA
9,18,1,105,188,GA
5,45,43,0,192,RANDOM
14,28,1,300,278,GA
1,2,1,1,40,GA
22,38,37,243,273,RANDOM
4,2,9,1,49,GA
6,45,24,167,240,GA
10,23,20,0,133,GA
3,35,12,0,226,GA
9,18,1,105,188,GA
11,52,37,71,327,RANDOM
5,4,4,3,53,GA
0,13,9,0,107,GA
1,2,1,1,40,GA
1,4,9,3,42,GA
3,10,22,13,77,RANDOM
1,3,1,1,33,GA
5,5,6,1,49,RANDOM
0,4,0,6,66,RANDOM
0,3,7,0,44,GA
21,24,20,51,177,RANDOM
5,47,28,21,249,GA
8,22,29,45,194,GA
12,24,1,210,242,GA
0,1,6,0,46,RANDOM
1,2,1,1,40,GA
8,17,7,17,111,GA
2,17,18,4,142,RANDOM
14,28,1,300,278,GA
3,6,5,2,55,GA
8,34,23,25,155,RANDOM
13,12,26,0,172,GA
17,34,1,465,332,GA
4,21,38,0,146,GA
4,13,11,0,85,GA
5,113,47,31,506,GA
5,9,7,10,123,GA
8,15,8,8,89,GA
7,36,39,0,299,GA
1,2,1,1,40,GA
3,8,6,4,52,GA
10,16,24,10,87,GA
4,7,14,15,67,GA
7,14,1,55,152,GA
1,2,1,1,40,GA
6,27,28,7,105,GA
1,2,1,1,40,GA
8,16,13,14,108,RANDOM
1,2,1,1,42,GA
0,3,5,0,42,GA
1,8,9,1,73,GA
12,24,1,210,242,GA
4,27,47,112,133,GA
0,14,21,8,91,GA
13,84,64,52,596,GA
5,3,3,3,44,GA
1,2,1,1,40,GA
2,18,22,23,140,GA
4,10,24,0,81,GA
14,28,1,300,278,GA
18,30,55,16,241,GA
11,22,1,171,224,GA
1,2,0,1,47,RANDOM
1,2,1,1,40,GA
21,42,1,741,404,GA
5,69,21,38,278,GA
12,24,1,210,242,GA
9,20,11,30,152,GA
2,50,10,1116,279,GA
2,9,2,0,72,GA
1,2,1,1,40,GA
20,121,113,588,936,RANDOM
21,42,1,741,404,GA
1,2,1,1,40,GA
2,2,2,1,12,GA
0,14,16,13,104,GA
5,30,49,224,203,GA
6,12,1,36,134,GA
3,34,32,222,177,GA
0,2,0,0,30,GA
0,1,0,0,14,GA
12,56,72,616,548,RANDOM
15,30,1,351,296,GA
6,12,1,36,134,GA
20,202,154,1477,1150,GA
7,14,1,55,152,GA
2,2,0,0,12,RANDOM
1,18,4,24,124,GA
3,29,18,0,193,GA
10,20,1,136,206,GA
9,18,1,105,188,GA
0,2,13,0,43,GA
2,8,0,20,44,GA
4,54,34,66,353,GA
0,4,0,6,75,RANDOM
1,2,1,1,40,GA
5,21,13,11,159,GA
16,39,43,287,228,GA
5,17,10,15,162,GA
9,18,1,105,188,GA
8,54,29,707,592,GA
2,4,3,0,57,GA
8,19,28,55,216,GA
6,15,14,26,144,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
3,24,24,60,243,GA
4,7,7,0,71,GA
1,15,0,91,68,GA
1,9,36,10,121,RANDOM
7,12,7,19,158,GA
5,15,3,4,63,GA
7,14,1,55,152,GA
0,2,0,1,35,RANDOM
2,26,10,8,179,RANDOM
6,12,1,36,134,GA
4,8,1,10,98,GA
11,17,11,101,180,RANDOM
1,10,6,4,245,GA
9,18,1,105,188,GA
2,4,4,3,73,RANDOM
6,55,52,62,334,RANDOM
2,4,6,3,55,GA
1,10,0,11,95,GA
2,14,4,0,115,GA
3,4,7,0,63,GA
4,8,1,10,98,GA
10,32,53,67,243,GA
11,17,10,68,100,RANDOM
1,2,1,1,40,GA
12,24,1,210,242,GA
5,10,1,21,116,GA
17,186,77,1599,1119,GA
9,60,24,1290,274,GA
4,2,2,0,52,GA
7,12,1,0,70,GA
2,24,20,79,102,GA
9,7,3,11,65,RANDOM
2,14,3,13,76,GA
2,2,4,1,46,GA
1,2,1,1,40,GA
4,3,6,1,47,GA
10,13,35,0,204,GA
15,30,1,351,296,GA
6,150,139,432,913,RANDOM
13,26,1,253,260,GA
0,4,7,6,83,RANDOM
1,6,15,6,58,GA
11,22,1,171,224,GA
1,1,1,0,11,GA
10,132,88,1462,605,RANDOM
13,22,11,26,204,GA
3,2,9,1,47,RANDOM
3,6,7,0,88,GA
24,48,1,990,458,GA
1,4,11,0,56,GA
3,3,4,3,36,RANDOM
0,4,1,0,79,RANDOM
11,22,1,171,224,GA
7,21,12,32,173,GA
7,14,1,55,152,GA
1,2,1,1,40,GA
2,2,3,0,12,GA
12,24,1,210,242,GA
9,15,22,28,99,GA
2,3,3,1,39,GA
1,2,1,1,40,GA
3,9,3,16,86,RANDOM
8,16,1,78,170,GA
4,19,14,10,113,GA
3,6,6,0,68,GA
7,18,19,61,158,GA
9,6,12,0,86,GA
4,3,2,3,34,RANDOM
2,14,0,13,147,GA
1,2,1,1,40,GA
1,2,1,1,40,GA
2,2,1,1,14,GA
2,6,4,0,44,GA
4,7,2,0,92,RANDOM
0,7,11,0,54,GA
9,18,1,105,188,GA
6,2,8,1,34,RANDOM
14,28,1,300,278,GA
1,2,1,1,40,GA
4,15,10,18,99,GA
23,54,78,356,407,GA
1,13,1,26,107,GA
9,25,17,76,155,GA
0,6,9,3,88,GA
4,16,8,0,178,GA
12,24,1,210,242,GA
3,6,4,0,65,GA
3,19,23,43,250,RANDOM
1,2,1,1,40,GA
2,10,15,0,122,RANDOM
