TARGET_CLASS,COVERAGE_GA,TIME_GA,COVERAGE_RAND,TIME_RAND,DIF_COVERAGE,DIF_TIME,Project,Package,Class,INT-INT,INT-FLOAT,FLOAT-FLOAT,BOOL-BOOL,REF-REF,REF-NULL,VARVAR,VAREXP,VARMETHOD,VARCONST,VARARRAY,EXPEXP,EXPMETHOD,EXPCONST,EXPARRAY,METHODMETHOD,METHODCONST,METHODARRAY,CONSTCONST,CONSTARRAY,ARRAYARRAY,NLp,NNLp,Nodes,Edges,CompCicl,NPths,PS,NCtr,NEl,NCtt,NVar,NEx,NMC,NIC,NIntC,NEC,NInt,NFlt,NNull,NArr,NStr,NObj,NLExp,UPC,Args,Lob,CLASS
com.sap.managementconsole.soap.axis.sapcontrol.LogFile,0.933602472089314,91803,0.882137161084529,83336,0.051465311004785,1.10160074877604,/home/gramos/USP/MSI/101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol,LogFile,0,0,0,1.157895,0.5,0.894737,0.5,0,0.289474,2.473684,0,0,0,0,0,0,2.384211,0,0,0,0,0,0,18,25.5,12,12,7.368421,5.647368,13.58421,5.357895,5.394737,0,2.831579,1.2,0.973684,0.157895,2.894737,0,3.7,1.236842,0,6.489473,0,0.5,0,71,GA
org.dom4j.jaxb.JAXBSupport,0.394927536231884,79398,0.623792270531401,71593,-0.228864734299517,1.10901903817412,/home/gramos/USP/MSI/62_dom4j,org.dom4j.jaxb,JAXBSupport,0,0,0,0,0,1.222222,0,0,0,1.222222,0,0,0,0,0,0,0,0,0,0,0,0,0,3.666667,4,2.333333,2.333333,2.777778,1.222222,2.444444,1.222222,1.222222,0,0,0,0,0,0,0,1.222222,0,0,1.222222,0,0,0,14.666667,RANDOM
com.lts.application.swing.error.ErrorPanel,0.345845845042598,69212,0.262512511709265,71521,0.083333333333333,0.967715775786133,/home/gramos/USP/MSI/78_caloriecount,com.lts.application.swing.error,ErrorPanel,0,0,0,0.166667,0,0,0,0,0,0.433333,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.6,3,3,2.866667,1.2,1.633333,0.433333,0.433333,0.766667,0,0,0,0,0.866667,0,0,0,0,0,0,0,1.6,34.6,GA
net.sourceforge.squirrel_sql.client.gui.desktopcontainer.SessionDialogWidget,0.125,77493,0,70233,0.125,1.10337021058477,/home/gramos/USP/MSI/102_squirrel-sql,net.sourceforge.squirrel_sql.client.gui.desktopcontainer,SessionDialogWidget,0,0,0,2.5,0,0,0,0,0,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,7,8,4,4,4,2.5,6,2.5,2.5,0,1,0,1,0,5,0,0,0,0,1,0,1,0,16,GA
Newzgrabber.TransferPanel,0.268894663950984,82994,0.242566546035168,76455,0.026328117915816,1.08552743443856,/home/gramos/USP/MSI/99_newzgrabber,Newzgrabber,TransferPanel,0,0,0,0.711274,0,0.090909,0,0,0.006342,0.475954,0,0,0,0.056818,0,0.069767,0.896747,0,0.122296,0,0,0.545455,0.090909,9.727273,19.909091,12.636364,12.454545,4.941424,2.345423,7.586699,2.166675,1.986979,0.717498,2.715547,0,0.25974,2.455807,3.124163,0,0.195804,0.712662,0.168706,3.187221,0,0.363636,0.454545,74.909091,GA
bcry.bcVoice,0.86984649122807,94273,0.809899749373433,86607,0.059946741854637,1.08851478517903,/home/gramos/USP/MSI/72_battlecry,bcry,bcVoice,0,0,0,1.236111,0,0.194444,0,0,0,1.430556,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.666667,2.666667,2.666667,3.027778,1.430556,2.861111,1.430556,1.430556,0,0,0,0,0,2.472222,0,0.194444,0,0,0.194444,0,0,0.666667,13.333333,GA
umd.cs.shop.JSSubstitution,0.836401874435411,98855,0.805136146599561,88025,0.03126572783585,1.12303322919625,/home/gramos/USP/MSI/85_shop,umd.cs.shop,JSSubstitution,0,0,0,0.333333,0,0,0,0,0,0,0,0,0.527778,0,0,0,1.555556,0,0.111111,0,0,1.333333,0.333333,6.333333,7,3,3,5,2.194444,6.277778,3.055556,0.805556,0,2.416667,1.555556,0.277778,0.583333,5.138889,0,0,0,0,1.138889,0,0.166667,0.166667,34.666667,GA
gui.ServerGUI,0.351580328767661,81571,0.235139423353517,67441,0.116440905414144,1.20951646624457,/home/gramos/USP/MSI/27_gangup,gui,ServerGUI,0,0,0,0.5,0,0,0,0,0,0.075,0,0,0,0,0,0,0.741667,0,0,0,0,0.2,0,5.6,7.6,4,4,3.891667,1.566667,4.766667,1.741667,0.958333,0.75,1.316667,0,0.175,1.141667,1.283333,0,0.175,1,0.075,1.633333,0,0.2,0.4,41.2,GA
net.virtualinfinity.atrobots.gui.RobotStatusPane,0.372065323347921,85286,0.282360369540481,78433,0.08970495380744,1.08737393699081,net.virtualinfinity.atrobots.gui.RobotStatusPane,0.372065323347921,85286,0.282360369540481,78433,0.08970495380744,1.08737393699081,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de.huxhorn.lilith.conditions.GroovyCondition,0.827040275569687,146191,0.7592550533727,148959,0.067785222196987,0.981417705543136,/home/gramos/USP/MSI/43_lilith,de.huxhorn.lilith.conditions,GroovyCondition,0,0,0,1.071242,0.2,0,0.2,0,0,1.328105,0,0,0,0,0,0,1.153595,0,0,0,0,0,0,10,14,7.4,7.4,4.849673,2.877778,7.823529,2.977124,3.294771,0.196078,1.355556,0,0,0.860131,2.142484,0,1.410458,1.716993,0,3.579085,0,0.2,0.2,49.8,GA
com.sap.managementconsole.soap.axis.sapcontrol.J2EECache2,0.822818218384864,148658,0.842292078214725,117512,-0.019473859829861,1.26504527197222,/home/gramos/USP/MSI/101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol,J2EECache2,0,0,0,1.139535,0.5,1.069767,0.5,0,2.430232,3.465116,0,0,0,0,0,0,4.718023,0,0,0,0,0,0,33,54,25.5,25.5,12.953489,11.113373,27.52907,8.683139,11.55814,0,7.287791,2.625,4.046512,0.116279,7.139535,0,7.043605,2.011628,0,12.845931,0,0.5,0,172,GA
org.heal.util.DateTools,0.985133928571429,76881,0.952935016111708,71414,0.032198912459721,1.07655361693786,/home/gramos/USP/MSI/96_heal,org.heal.util,DateTools,0,0,0,0,0,0.333333,0,0.133333,0,1.266667,0,0,0,0,0,0,0,0,0.2,0,0,0.333333,0,5.666667,6.666667,3.333333,3.333333,3.888889,1.777778,3.911111,1.933333,1.8,0.177778,0,0,0,0,1.333333,0,1,1.066667,0,1.4,0,0,1.666667,24,GA
org.jcvi.jillion.core.pos.DefaultPositionSequence,0.848712587222379,91007,0.819866433376225,91778,0.028846153846154,0.991599293948441,/home/gramos/USP/MSI/92_jcvi-javacommon,org.jcvi.jillion.core.pos,DefaultPositionSequence,0,0,0,1,1,0.8,1,0,0,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,9,8,5,5,3.8,2.8,8,2.4,4.6,0,1,0,0,0.4,2,0,0.8,0,0,3.8,0,0,0,27,GA
ipac.IPv6,0.543509369146704,100414,0.481418109881616,75744,0.062091259265088,1.32570236586396,ipac.IPv6,0.543509369146704,100414,0.481418109881616,75744,0.062091259265088,1.32570236586396,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ipac.IPv4,0.537750227617044,92793,0.474006439587313,75217,0.063743788029731,1.23367057978914,ipac.IPv4,0.537750227617044,92793,0.474006439587313,75217,0.063743788029731,1.23367057978914,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ipac.IPAC,0.312679018976011,89986,0.300286430361618,71895,0.012392588614393,1.25163085054594,ipac.IPAC,0.312679018976011,89986,0.300286430361618,71895,0.012392588614393,1.25163085054594,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.quickserver.net.qsadmin.gui.QSAdminGUI,0.331722810469765,113963,0.160064164346398,106583,0.171658646123367,1.06924181154593,org.quickserver.net.qsadmin.gui.QSAdminGUI,0.331722810469765,113963,0.160064164346398,106583,0.171658646123367,1.06924181154593,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.quickserver.net.qsadmin.gui.QSAdmin,0.466666666666667,69040,0.455555555555556,69098,0.011111111111111,0.999160612463458,org.quickserver.net.qsadmin.gui.QSAdmin,0.466666666666667,69040,0.455555555555556,69098,0.011111111111111,0.999160612463458,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.quickserver.net.qsadmin.gui.QSAdminMain,0.525883514162212,128140,0.371467916728371,125322,0.154415597433841,1.02248607586856,org.quickserver.net.qsadmin.gui.QSAdminMain,0.525883514162212,128140,0.371467916728371,125322,0.154415597433841,1.02248607586856,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
org.exolab.jms.tools.migration.proxy.MessageHandlerFactory,0.91520732689211,135235,0.719519208649643,113947,0.195688118242467,1.18682369873713,/home/gramos/USP/MSI/66_openjms,org.exolab.jms.tools.migration.proxy,MessageHandlerFactory,0,0,0,3.857143,0,0,0,0,0,0,0,0,0,0,0,0,3.857143,0,0,0,0,0,0,13,18,7,7,5.714286,3.857143,19.285713,7.714286,3.857143,0,7.714286,0,0,7.714286,7.714286,0,0,3.857143,0,7.714286,0,1,0,75,GA
Newzgrabber.SongList,0.856851073762839,96384,0.829258370014673,89869,0.027592703748166,1.07249440852797,/home/gramos/USP/MSI/99_newzgrabber,Newzgrabber,SongList,0,0,0,1.821429,0,0,0,0,0,1.357143,0,0,0.035714,0,0,0.142857,1.116071,0,0,0,0,1.5,0.5,14.5,31,19,19,6.383928,3.675595,12.214285,3.395833,3.434524,1.02381,4.360119,0,0.333333,4.026785,5.776786,0,0,1.28869,0,5,0,0,0.5,94,GA
nu.staldal.lagoon.producer.LSPTransformer,0.387109085202305,77954,0.377849825943046,70614,0.009259259259259,1.10394539326479,/home/gramos/USP/MSI/52_lagoon,nu.staldal.lagoon.producer,LSPTransformer,0,0,0,1.14,0,0.16,0,0.04,0,0.28,0,0,0,0,0,0,1.34,0,0,0,0,0.4,0,6.8,7,4,4,3.85,1.96,6.52,2.08,1.5,0.3,2.64,0.76,0.26,1.42,3.08,0,0.36,0.2,0.24,2.48,0,0.2,1.2,47,GA
